siteid,sitename,state,county,startdate,enddate,latitude,longitude,elevation
FL11,Everglades National Park-Research Center,FL,Dade,6/17/80,,25.39,-80.68,2
FL14,Quincy,FL,Gadsden,3/13/84,,30.5486,-84.6004,60
FL23,Sumatra,FL,Liberty,1/26/99,,30.1106,-84.9902,14
FL32,Orlando,FL,Orange,12/14/05,,28.5926,-81.1904,21
FL41,Verna Well Field,FL,Sarasota,8/25/83,,27.3801,-82.2831,25
FL99,Kennedy Space Center,FL,Brevard,8/2/83,,28.5428,-80.644,2
GA09,Okefenokee National Wildlife Refuge,GA,Charlton,6/3/97,,30.7403,-82.1286,47
GA20,Bellville,GA,Evans,4/26/83,,32.1411,-81.9714,62
GA23,Fort Frederica National Monument,GA,Glynn,9/3/85,9/27/88,31.2253,-81.3922,2
GA33,Sapelo Island,GA,McIntosh,11/26/02,,31.3961,-81.2811,3
GA41,Georgia Station,GA,Pike,10/3/78,,33.1778,-84.4061,270
GA50,Tifton ARS,GA,Tift,10/4/83,2/10/94,31.4731,-83.5331,104
GA98,Skidaway,GA,Chatham,6/18/02,5/24/05,31.9958,-81.0185,3
GA99,Chula,GA,Tift,2/10/94,,31.5183,-83.5483,107
HI00,Mauna Loa,HI,Hawaii,6/10/80,9/28/93,19.5392,-155.5792,3399
HI99,Hawaii Volcanoes National Park-Thurston,HI,Hawaii,11/21/00,2/15/05,19.4194,-155.2403,1195
IA08,Big Springs Fish Hatchery,IA,Clayton,8/14/84,,42.9097,-91.47,229
IA23,McNay Research Center,IA,Lucas,9/11/84,,40.9631,-93.3925,320
ID02,Priest River Experimental Forest,ID,Bonner,12/31/02,,48.3518,-116.8397,726
ID03,Craters of the Moon National Monument,ID,Butte,8/22/80,,43.4605,-113.5551,1807
ID04,Headquarters,ID,Clearwater,7/20/82,9/25/91,46.6278,-115.8194,969
ID11,Reynolds Creek,ID,Owyhee,11/22/83,,43.2053,-116.7492,1198
ID15,Smiths Ferry,ID,Valley,10/9/84,9/27/06,44.2978,-116.0636,1442
IL11,Bondville,IL,Champaign,2/27/79,,40.0533,-88.3719,212
IL18,Shabbona,IL,De Kalb,5/26/81,,41.8414,-88.8511,265
IL19,Argonne,IL,Du Page,3/11/80,9/28/04,41.7011,-87.9953,229
IL35,Southern Illinois University,IL,Jackson,7/31/79,1/4/94,37.71,-89.2689,146
IL46,Alhambra,IL,Madison,1/26/99,,38.8689,-89.6219,164
IL47,Salem,IL,Marion,4/15/80,11/22/88,38.6433,-88.9669,173
IL63,Dixon Springs Agricultural Center,IL,Pope,1/30/79,,37.4356,-88.6719,161
IL78,Monmouth,IL,Warren,1/8/85,,40.9333,-90.7231,229
IL99,Omega,IL,Marion,9/26/89,9/28/93,38.71,-88.7492,153
IN20,Roush Lake,IN,Huntington,8/22/83,,40.84,-85.4639,244
IN22,Southwest Purdue Agriculture Center,IN,Knox,9/25/84,,38.7408,-87.4855,134
IN34,Indiana Dunes National Lakeshore,IN,Porter,7/15/80,,41.6318,-87.0881,208
IN41,Agronomy Center for Research and Extension,IN,Tippecanoe,7/13/82,,40.4749,-86.9924,215
KS07,Farlington Fish Hatchery,KS,Crawford,3/27/84,,37.6511,-94.8036,281
KS31,Konza Prairie,KS,Riley,8/17/82,,39.1022,-96.6092,350
KS32,Lake Scott State Park,KS,Scott,3/27/84,,38.6717,-100.9164,863
KY03,Mackville,KY,Washington,11/29/83,,37.7047,-85.0489,293
KY10,Mammoth Cave National Park-Houchin Meadow,KY,Edmonson,8/27/02,,37.1317,-86.148,236
KY19,Seneca Park,KY,Jefferson,10/7/03,,38.2314,-85.6717,184
KY22,Lilley Cornett Woods,KY,Letcher,9/6/83,,37.0778,-82.9936,335
KY35,Clark State Fish Hatchery,KY,Rowan,8/30/83,,38.1183,-83.5469,204
KY38,Land Between the Lakes,KY,Trigg,10/2/84,4/16/96,36.7906,-88.0672,181
KY99,Mulberry Flat,KY,Trigg,12/27/94,,36.9028,-88.0119,122
LA06,Hill Farm Research Station,LA,Claiborne,11/16/82,1/26/88,32.7514,-93.0506,88
LA12,Iberia Research Station,LA,Iberia,11/16/82,,29.9297,-91.7153,6
LA30,Southeast Research Station,LA,Washington,1/18/83,,30.8114,-90.1808,48
MA01,North Atlantic Coastal Lab,MA,Barnstable,12/15/81,,41.9758,-70.0247,41
MA08,Quabbin Reservoir,MA,Franklin,3/5/82,,42.3925,-72.3444,306
MA13,East,MA,Middlesex,2/2/82,,42.3839,-71.2147,18
MD03,White Rock Substation,MD,Carroll,10/3/84,3/4/02,39.4089,-76.9953,172
MD07,Catoctin Mountain Park,MD,Frederick,5/27/03,,39.6405,-77.4933,464
MD08,Piney Reservoir,MD,Garrett,6/29/04,,39.7053,-79.0122,769
MD13,Wye,MD,Queen Annes,3/8/83,,38.9131,-76.1525,6
MD15,Smith Island,MD,Somerset,6/1/04,,37.9925,-76.0345,2
MD18,Assateague Island National Seashore-Woodcock,MD,Worcester,9/5/00,,38.2528,-75.1529,2
MD99,Beltsville,MD,Prince Georges,6/1/04,,39.028,-76.8171,46
ME00,Caribou,ME,Aroostook,4/14/80,,46.8681,-68.0131,191
ME02,Bridgton,ME,Cumberland,9/30/80,,44.1075,-70.7289,222
ME04,Carrabassett Valley,ME,Franklin,3/12/02,,45.0803,-70.2119,270
ME08,Gilead,ME,Oxford,9/28/99,,44.4003,-71.0098,212
ME09,Greenville Station,ME,Piscataquis,11/20/79,,45.4891,-69.6647,322
ME96,Casco Bay-Wolfeðs Neck Farm,ME,Cumberland,1/6/98,,43.8325,-70.0645,15
ME97,Presque Isle,ME,Aroostook,6/5/84,9/27/88,46.6547,-68.0089,186
ME98,Acadia National Park-McFarland Hill,ME,Hancock,11/3/81,,44.3772,-68.2608,150
ME99,Acadia National Park-Paradise Hill,ME,Hancock,11/18/80,11/3/81,44.4083,-68.2461,37
MI09,Douglas Lake,MI,Cheboygan,7/3/79,,45.5608,-84.6783,238
MI22,Houghton,MI,Houghton,10/26/80,2/15/83,47.2269,-88.6308,193
MI25,Isle Royale National Park-Windigo,MI,Keweenaw,8/12/80,10/22/84,47.9153,-89.1525,216
MI26,Kellogg Biological Station,MI,Kalamazoo,6/26/79,,42.4103,-85.3928,288
MI29,Peshawbestown,MI,Leelanau,1/22/02,,45.0289,-85.6292,229
MI48,Seney National Wildlife Refuge-Headquarters,MI,Schoolcraft,11/28/00,,46.2875,-85.9541,216
MI51,Unionville,MI,Tuscola,1/26/99,,43.6131,-83.3581,201
MI52,Ann Arbor,MI,Washtenaw,1/26/99,,42.4164,-83.9019,267
MI53,Wellston,MI,Wexford,10/10/78,,44.2242,-85.8186,292
MI97,Isle Royale National Park-Wallace Lake,MI,Keweenaw,5/22/85,10/10/06,48.0575,-88.6342,201
MI98,Raco,MI,Chippewa,5/1/84,,46.3742,-84.7414,262
MI99,Chassell,MI,Houghton,2/15/83,,47.1047,-88.5514,277
MN01,Cedar Creek,MN,Anoka,12/31/96,,45.4017,-93.2031,280
MN05,Fond du Lac,MN,Carlton,11/19/96,3/22/05,46.7131,-92.5108,390
MN08,Hovland,MN,Cook,12/31/96,,47.8472,-89.9625,224
MN16,Marcell Experimental Forest,MN,Itasca,7/6/78,,47.5311,-93.4686,431
MN18,Fernberg,MN,Lake,11/18/80,,47.9464,-91.4961,524
MN23,Camp Ripley,MN,Morrison,10/18/83,,46.2494,-94.4972,410
MN27,Lamberton,MN,Redwood,1/2/79,,44.2369,-95.301,343
MN28,Grindstone Lake,MN,Pine,12/31/96,,46.1208,-93.0042,337
MN32,Voyageurs National Park-Sullivan Bay,MN,St. Louis,5/30/00,,48.4128,-92.8292,429
MN99,Wolf Ridge,MN,Lake,12/31/96,,47.3875,-91.1958,351
MO03,Ashland Wildlife Area,MO,Boone,10/20/81,,38.7536,-92.1989,239
MO05,University Forest,MO,Butler,10/27/81,,36.9108,-90.3186,154
MO43,Tyson Research Center,MO,St. Louis,8/28/01,,38.5208,-90.5541,174
MO50,Baker Observatory,MO,Webster,10/14/86,5/10/88,37.3986,-93.0425,415
MS10,Clinton,MS,Hinds,7/10/84,,32.3069,-90.3186,86
MS14,Meridian,MS,Lauderdale,4/15/80,1/2/90,32.3344,-88.745,89
MS19,Newton,MS,Newton,11/11/86,,32.3269,-89.2086,115
MS30,Coffeeville,MS,Yalobusha,7/17/84,,34.0025,-89.7993,134
MT00,Little Bighorn Battlefield National Monument,MT,Big Horn,7/13/84,,45.5686,-107.4375,957
MT05,Glacier National Park-Fire Weather Station,MT,Flathead,6/3/80,,48.5103,-113.9958,980
MT07,Clancy,MT,Jefferson,1/24/84,,46.485,-112.0647,1448
MT13,Give Out Morgan,MT,Roosevelt,9/14/82,12/15/98,48.4886,-105.2083,806
MT96,Poplar River,MT,Roosevelt,12/21/99,,48.31,-105.1,634
MT97,Lost Trail Pass,MT,Ravalli,9/25/90,,45.6917,-113.9656,2414
MT98,Havre - Northern Agricultural Research Center,MT,Hill,7/30/85,,48.4992,-109.7975,815
MT99,Glacier National Park-St Mary Ranger Station,MT,Glacier,1/25/83,11/28/89,48.7411,-113.43,1391
NC03,Lewiston,NC,Bertie,10/31/78,,36.1325,-77.1708,22
NC06,Beaufort,NC,Carteret,1/26/99,,34.8846,-76.6207,2
NC11,Research Triangle Institute,NC,Durham,10/14/80,1/4/83,35.9025,-78.87,99
NC25,Coweeta,NC,Macon,7/5/78,,35.0605,-83.4305,686
NC29,Hofmann Forest,NC,Onslow,7/2/02,,34.825,-77.3228,14
NC33,Research Triangle Park,NC,Durham,4/15/80,3/1/83,35.8964,-78.8606,94
NC34,Piedmont Research Station,NC,Rowan,10/17/78,,35.697,-80.6225,219
NC35,Clinton Crops Research Station,NC,Sampson,10/24/78,,35.0258,-78.2783,41
NC36,Jordan Creek,NC,Scotland,10/18/83,,34.9705,-79.5281,132
NC41,Finley Farm,NC,Wake,10/3/78,,35.7288,-78.6802,120
NC45,Mt. Mitchell,NC,Yancey,11/26/85,,35.7353,-82.2861,1987
ND00,Theodore Roosevelt National Park-Painted Canyon,ND,Billings,1/30/01,,46.8947,-103.3777,841
ND07,Theodore Roosevelt National Park-North Unit Headquarters,ND,McKenzie,5/5/81,12/12/00,47.6014,-103.2642,611
ND08,Icelandic State Park,ND,Pembina,10/25/83,,48.782,-97.7546,306
ND11,Woodworth,ND,Stutsman,11/29/83,,47.1247,-99.2381,578
NE15,Mead,NE,Saunders,7/25/78,,41.1528,-96.4912,352
NE99,North Platte Agricultural Experiment Station,NE,Lincoln,9/24/85,,41.0592,-100.7464,919
NH02,Hubbard Brook,NH,Grafton,7/25/78,,43.9433,-71.7029,250
NJ00,Edwin B. Forsythe National Wildlife Refuge,NJ,Atlantic,10/13/98,,39.4728,-74.4369,2
NJ29,Princeton,NJ,Mercer,8/6/80,7/7/81,40.3456,-74.6169,37
NJ99,Washington Crossing,NJ,Mercer,8/4/81,,40.3154,-74.8536,72
NM01,Gila Cliff Dwellings National Monument,NM,Catron,7/29/85,,33.2203,-108.2347,1772
NM07,Bandelier National Monument,NM,Los Alamos,6/22/82,,35.7817,-106.2675,1998
NM08,Mayhill,NM,Otero,1/24/84,,32.9094,-105.4706,2009
NM09,Cuba,NM,Sandoval,2/3/82,4/4/00,36.0408,-106.9714,2124
NM12,Capulin Volcano National Monument,NM,Union,11/15/84,,36.779,-103.9809,2205
NV00,Red Rock Canyon,NV,Clark,1/22/85,12/10/02,36.1358,-115.4256,1137
NV01,Saval Ranch,NV,Elko,7/18/84,3/25/97,41.2853,-115.8522,1872
NV03,Smith Valley,NV,Lyon,8/7/85,,38.7992,-119.2567,1501
NV05,Great Basin National Park-Lehman Caves,NV,White Pine,1/15/85,,39.005,-114.2158,2067
NY01,Alfred,NY,Allegany,8/17/04,,42.228,-77.8018,663
NY08,Aurora Research Farm,NY,Cayuga,4/17/79,,42.7339,-76.6597,249
NY10,Chautauqua,NY,Chautauqua,6/10/80,,42.2994,-79.3964,488
NY12,Knobit,NY,Columbia,1/2/80,8/6/85,42.3783,-73.5028,406
NY20,Huntington Wildlife,NY,Essex,10/31/78,,43.9731,-74.2231,500
NY22,Akwesasne Mohawk-Fort Covington,NY,Franklin,8/18/99,,44.9236,-74.4744,66
NY29,Moss Lake,NY,Herkimer,7/29/03,,43.7888,-74.8492,558
NY51,Stilwell Lake,NY,Orange,6/26/79,10/2/84,41.35,-74.0394,186
NY52,Bennett Bridge,NY,Oswego,6/10/80,,43.5261,-75.9472,245
NY65,Jasper,NY,Steuben,2/19/80,6/15/04,42.1064,-77.5358,634
NY68,Biscuit Brook,NY,Ulster,10/11/83,,41.9936,-74.5031,634
NY96,"Cedar Beach, Southold",NY,Suffolk,11/25/03,,41.0347,-72.3891,1
NY98,Whiteface Mountain,NY,Essex,7/3/84,,44.3933,-73.8594,610
NY99,West Point,NY,Orange,9/13/83,,41.3511,-74.0484,201
OH09,Oxford,OH,Butler,8/14/84,,39.5314,-84.7242,284
OH15,Lykens,OH,Crawford,1/26/99,,40.917,-82.9981,303
OH17,Delaware,OH,Delaware,10/3/78,,40.3553,-83.0661,285
OH49,Caldwell,OH,Noble,9/26/78,,39.7928,-81.5311,276
OH54,Deer Creek State Park,OH,Pickaway,1/26/99,,39.6358,-83.26,267
OH71,Wooster,OH,Wayne,9/26/78,,40.7822,-81.92,308
OK00,Salt Plains National Wildlife Refuge,OK,Alfalfa,12/13/83,,36.8053,-98.2006,345
OK08,Lake Eucha,OK,Delaware,2/1/00,1/28/04,36.3481,-94.8239,243
OK17,Kessler Farm Field Laboratory,OK,McClain,3/29/83,,34.98,-97.5214,331
OK25,Clayton Lake,OK,Pushmataha,2/1/83,8/12/86,34.5297,-95.3531,349
OK29,Goodwell Research Station,OK,Texas,1/8/85,,36.5908,-101.6175,999
OK99,Stilwell,OK,Adair,5/22/07,,35.7514,-94.6717,304
OR02,Alsea Guard Ranger Station,OR,Benton,12/27/79,,44.3856,-123.6153,104
OR08,Lost Creek Dam,OR,Jackson,10/21/80,12/6/83,42.6678,-122.6831,475
OR09,Silver Lake Ranger Station,OR,Lake,8/23/83,,43.1217,-121.0578,1336
OR10,H. J. Andrews Experimental Forest,OR,Lane,5/13/80,,44.2133,-122.2533,436
OR11,Vines Hill,OR,Malheur,7/15/80,3/30/93,43.8994,-117.4269,904
OR17,Pendleton,OR,Umatilla,4/15/80,6/15/82,45.69,-118.8378,452
OR18,Starkey Experimental Forest,OR,Union,3/6/84,,45.2244,-118.5114,1253
OR97,Hyslop Farm,OR,Benton,4/26/83,,44.6347,-123.19,69
OR98,Bull Run,OR,Clackamas,7/13/82,10/6/03,45.4492,-122.1533,267
OR99,Schmidt Farm,OR,Benton,12/26/79,4/26/83,44.6264,-123.2139,69
PA00,Arendtsville,PA,Adams,1/26/99,,39.9231,-77.3078,269
PA15,Penn State,PA,Centre,6/7/83,,40.7883,-77.9458,393
PA18,Young Woman's Creek,PA,Clinton,4/20/99,,41.4133,-77.6939,273
PA29,Kane Experimental Forest,PA,Elk,7/18/78,,41.5978,-78.7675,618
PA42,Leading Ridge,PA,Huntingdon,4/25/79,,40.6575,-77.9397,287
PA47,Millersville,PA,Lancaster,11/21/02,,39.99,-76.3862,85
PA72,Milford,PA,Pike,12/27/83,,41.3273,-74.8199,212
PR20,El Verde,PR,Rio Grande,2/12/85,,18.3206,-65.82,380
SC05,Cape Romain National Wildlife Refuge,SC,Charleston,11/21/00,,32.9419,-79.6591,3
SC06,Santee National Wildlife Refuge,SC,Clarendon,7/19/84,,33.5394,-80.435,24
SC07,ACE Basin National Estuarine Research Reserve,SC,Colleton,12/31/01,,32.5993,-80.4554,1
SC11,North Inlet-Winyah Bay National Estuarine Research Reserve,SC,Georgetown,1/8/02,,33.3494,-79.1927,1
SC18,Clemson,SC,Pickens,3/27/79,6/17/86,34.6239,-82.7342,256
SC99,Fort Johnson,SC,Charleston,3/19/02,3/20/07,32.7508,-79.8975,2
SD00,Huron,SD,Beadle,4/30/80,9/20/83,44.3842,-98.2206,390
SD04,Wind Cave National Park-Elk Mountain,SD,Custer,11/5/02,,43.5577,-103.4835,1311
SD08,Cottonwood,SD,Jackson,10/11/83,,43.9461,-101.8552,733
SD99,Huron Well Field,SD,Beadle,11/29/83,,44.355,-98.2917,398
TN00,Walker Branch Watershed,TN,Anderson,3/11/80,,35.9614,-84.2872,341
TN04,Speedwell,TN,Claiborne,1/26/99,,36.4692,-83.8272,361
TN11,Great Smoky Mountains National Park-Elkmont,TN,Sevier,8/12/80,,35.6645,-83.5903,640
TN14,Hatchie National Wildlife Refuge,TN,Haywood,10/2/84,,35.4678,-89.1586,107
TN98,Wilburn Chapel,TN,Giles,1/2/90,5/7/96,35.1825,-87.1964,302
TN99,Giles County,TN,Giles,10/2/84,1/2/90,35.2847,-86.9033,244
TX02,Muleshoe National Wildlife Refuge,TX,Bailey,6/18/85,,33.9578,-102.7761,1143
TX03,Beeville,TX,Bee,2/7/84,,28.4667,-97.7069,82
TX04,Big Bend National Park-K-Bar,TX,Brewster,4/10/80,,29.3022,-103.1772,1056
TX10,Attwater Prairie Chicken National Wildlife Refuge,TX,Colorado,7/3/84,,29.6614,-96.2594,54
TX16,Sonora,TX,Edwards,6/26/84,,30.2614,-100.555,690
TX18,Y Experimental Ranch,TX,Foard,6/30/92,1/2/96,33.9242,-100.0469,489
TX21,Longview,TX,Gregg,6/29/82,,32.3786,-94.7117,103
TX22,Guadalupe Mountains National Park Frijole Ranger Station,TX,Culberson,6/5/84,,31.9083,-104.8028,1734
TX38,Forest Seed Center,TX,Nacogdoches,8/18/81,7/10/01,31.5605,-94.8608,84
TX39,Texas A&M University-Corpus Christi,TX,Nueces,1/2/02,12/26/06,27.7125,-97.3291,5
TX43,Caððnceta,TX,Randall,7/24/07,,34.88,-101.665,1057
TX51,Throckmorton,TX,Throckmorton,5/29/84,5/19/92,33.2733,-99.2153,425
TX53,Victoria,TX,Victoria,4/15/80,9/27/88,28.8453,-96.9203,31
TX56,L.B.J. National Grasslands,TX,Wise,9/20/83,,33.3917,-97.6397,312
UT01,Logan,UT,Cache,12/6/83,,41.6661,-111.8914,1370
UT02,Cedar Mountain,UT,Emery,5/11/81,1/17/84,39.1711,-110.6183,2331
UT08,Murphy Ridge,UT,Rich,3/25/86,,41.3586,-111.048,2146
UT09,Canyonlands National Park-Island in the Sky,UT,San Juan,11/11/97,,38.455,-109.8217,1813
UT98,Green River,UT,Emery,4/25/85,,38.9983,-110.1653,1244
UT99,Bryce Canyon National Park-Repeater Hill,UT,Garfield,1/29/85,,37.6186,-112.1728,2477
VA00,Charlottesville,VA,Albemarle,10/2/84,,38.0402,-78.5427,172
VA10,Mason Neck,VA,Fairfax,8/12/03,,38.6294,-77.2047,6
VA13,Horton's Station,VA,Giles,7/25/78,,37.3294,-80.5579,916
VA24,Prince Edward,VA,Prince Edward,1/26/99,,37.1652,-78.3073,150
VA27,James Madison University Farm,VA,Rockingham,7/9/02,,38.3034,-78.8178,336
VA28,Shenandoah National Park-Big Meadows,VA,Madison,5/12/81,,38.5225,-78.4358,1074
VA29,Whitetop Mountain,VA,Smyth,9/30/86,9/18/90,36.6389,-81.6058,1686
VA33,Love's Mill,VA,Washington,10/2/84,7/2/85,36.7367,-81.6869,663
VA98,Harcum,VA,Gloucester,8/31/04,,37.5312,-76.4928,13
VA99,Natural Bridge Station,VA,Rockbridge,7/2/02,,37.6265,-79.5126,282
VI01,Virgin Islands National Park-Lind Point,VI,St. John,4/14/98,,18.3362,-64.7962,56
VT01,Bennington,VT,Bennington,4/28/81,,42.8761,-73.1633,305
VT99,Underhill,VT,Chittenden,6/12/84,,44.5283,-72.8684,399
WA14,Olympic National Park-Hoh Ranger Station,WA,Jefferson,5/20/80,,47.86,-123.9319,176
WA15,Sullivan Lake,WA,Pend Oreille,5/8/84,11/24/87,48.8433,-117.2839,796
WA19,North Cascades National Park-Marblemount Ranger Station,WA,Skagit,2/7/84,,48.5406,-121.4453,123
WA21,La Grande,WA,Pierce,4/24/84,,46.8353,-122.2867,617
WA24,Palouse Conservation Farm,WA,Whitman,8/20/85,,46.7606,-117.1847,766
WA98,Columbia River Gorge,WA,Skamania,5/7/02,,45.5639,-122.2089,238
WA99,Mount Rainier National Park-Tahoma Woods,WA,Pierce,10/26/99,,46.7614,-122.1217,421
WI09,Popple River,WI,Florence,12/30/86,,45.7964,-88.3994,421
WI10,Potawatomi,WI,Forest,6/7/05,,45.5633,-88.8082,563
WI25,Suring,WI,Oconto,1/23/85,,45.0533,-88.3728,247
WI28,Lake Dubay,WI,Portage,6/29/82,,44.7073,-89.7716,385
WI32,Middle Village,WI,Shawano,1/22/02,3/28/06,44.9308,-88.755,319
WI35,Perkinstown,WI,Taylor,1/26/99,,45.2064,-90.5978,472
WI36,Trout Lake,WI,Vilas,1/22/80,,46.0528,-89.6531,501
WI37,Spooner,WI,Washburn,6/3/80,,45.8228,-91.8744,331
WI97,Lac Courte Oreilles Reservation,WI,Sawyer,11/27/01,3/22/05,45.9944,-91.3711,418
WI98,Wildcat Mountain,WI,Vernon,8/1/89,,43.7023,-90.5685,386
WI99,Lake Geneva,WI,Walworth,6/5/84,,42.5792,-88.5006,288
WV04,Babcock State Park,WV,Fayette,9/6/83,,37.9796,-80.9525,753
WV05,Cedar Creek State Park,WV,Gilmer,1/26/99,,38.8794,-80.8478,234
WV18,Parsons,WV,Tucker,7/5/78,,39.0897,-79.6622,505
WY00,Snowy Range,WY,Albany,4/22/86,,41.3761,-106.2594,3286
WY02,Sinks Canyon,WY,Fremont,8/21/84,,42.7336,-108.8498,2164
WY06,Pinedale,WY,Sublette,1/26/82,,42.929,-109.7875,2388
WY08,Yellowstone National Park-Tower Falls,WY,Park,6/5/80,,44.9166,-110.4203,1912
WY95,Brooklyn Lake,WY,Albany,9/22/92,,41.3647,-106.2408,3181
WY96,Nash Fork,WY,Albany,11/18/86,9/17/92,41.3403,-106.1908,2856
WY97,South Pass City,WY,Fremont,4/30/85,,42.4944,-108.832,2524
WY98,Gypsum Creek,WY,Sublette,12/26/84,,43.2227,-109.9917,2428
WY99,Newcastle,WY,Weston,8/11/81,,43.873,-104.1917,1466
